id,url,status,timeMs,found,error
800008056,https://app.udeki.com/login?id/800008056,200,2290,NO,
800008167,https://app.udeki.com/login?id/800008167,200,2509,NO,
800008208,https://app.udeki.com/login?id/800008208,200,2427,NO,
800008379,https://app.udeki.com/login?id/800008379,200,2544,NO,
800009590,https://app.udeki.com/login?id/800009590,200,2048,NO,
800008556,https://app.udeki.com/login?id/800008556,200,4115,NO,
800010009,https://app.udeki.com/login?id/800010009,200,1787,NO,
800009921,https://app.udeki.com/login?id/800009921,200,2915,NO,
800010389,https://app.udeki.com/login?id/800010389,200,1898,NO,
800010470,https://app.udeki.com/login?id/800010470,200,2562,NO,
800010624,https://app.udeki.com/login?id/800010624,200,1978,NO,
800010710,https://app.udeki.com/login?id/800010710,200,2609,NO,
800010818,https://app.udeki.com/login?id/800010818,200,2743,NO,
800011145,https://app.udeki.com/login?id/800011145,200,1896,NO,
800011076,https://app.udeki.com/login?id/800011076,200,2675,NO,
800011342,https://app.udeki.com/login?id/800011342,200,1675,NO,
800011333,https://app.udeki.com/login?id/800011333,200,2351,NO,
800011365,https://app.udeki.com/login?id/800011365,200,1688,NO,
800011385,https://app.udeki.com/login?id/800011385,200,2002,NO,
800011649,https://app.udeki.com/login?id/800011649,200,1696,NO,
800011654,https://app.udeki.com/login?id/800011654,200,1911,NO,
800011665,https://app.udeki.com/login?id/800011665,200,1796,NO,
800011848,https://app.udeki.com/login?id/800011848,200,1702,NO,
800011981,https://app.udeki.com/login?id/800011981,200,2025,NO,
800012035,https://app.udeki.com/login?id/800012035,200,2466,NO,
800012105,https://app.udeki.com/login?id/800012105,200,1966,NO,
800012286,https://app.udeki.com/login?id/800012286,200,1697,NO,
800012226,https://app.udeki.com/login?id/800012226,200,2326,NO,
800012346,https://app.udeki.com/login?id/800012346,200,2002,NO,
800012461,https://app.udeki.com/login?id/800012461,200,2368,NO,
800012623,https://app.udeki.com/login?id/800012623,200,2245,NO,
800012640,https://app.udeki.com/login?id/800012640,200,1962,NO,
800012771,https://app.udeki.com/login?id/800012771,200,1957,NO,
800012743,https://app.udeki.com/login?id/800012743,200,2288,NO,
800014311,https://app.udeki.com/login?id/800014311,200,2203,NO,
800014626,https://app.udeki.com/login?id/800014626,200,2624,NO,
800014649,https://app.udeki.com/login?id/800014649,200,1915,NO,
800015327,https://app.udeki.com/login?id/800015327,200,2001,NO,
800016064,https://app.udeki.com/login?id/800016064,200,1794,NO,
800016033,https://app.udeki.com/login?id/800016033,200,2619,NO,
800016088,https://app.udeki.com/login?id/800016088,200,2135,NO,
800016136,https://app.udeki.com/login?id/800016136,200,2648,NO,
800016286,https://app.udeki.com/login?id/800016286,200,1743,NO,
800016864,https://app.udeki.com/login?id/800016864,200,2301,NO,
800016942,https://app.udeki.com/login?id/800016942,200,1936,NO,
800017052,https://app.udeki.com/login?id/800017052,200,1916,NO,
800016996,https://app.udeki.com/login?id/800016996,200,2719,NO,
800017806,https://app.udeki.com/login?id/800017806,200,1887,NO,
800017926,https://app.udeki.com/login?id/800017926,200,2661,NO,
800018246,https://app.udeki.com/login?id/800018246,200,1680,NO,
800018755,https://app.udeki.com/login?id/800018755,200,2033,NO,
800018761,https://app.udeki.com/login?id/800018761,200,2342,NO,
800018809,https://app.udeki.com/login?id/800018809,200,2323,NO,
800018863,https://app.udeki.com/login?id/800018863,200,2036,NO,
800020594,https://app.udeki.com/login?id/800020594,200,2323,NO,
800021335,https://app.udeki.com/login?id/800021335,200,2204,NO,
800021571,https://app.udeki.com/login?id/800021571,200,2803,NO,
800022360,https://app.udeki.com/login?id/800022360,200,4058,NO,
800022838,https://app.udeki.com/login?id/800022838,200,2582,NO,
800022939,https://app.udeki.com/login?id/800022939,200,2179,NO,
800023951,https://app.udeki.com/login?id/800023951,200,2576,NO,
800024418,https://app.udeki.com/login?id/800024418,200,2372,NO,
800024433,https://app.udeki.com/login?id/800024433,200,2343,NO,
800024492,https://app.udeki.com/login?id/800024492,200,2576,NO,
800024818,https://app.udeki.com/login?id/800024818,200,1925,NO,
800024815,https://app.udeki.com/login?id/800024815,200,3873,NO,
800024832,https://app.udeki.com/login?id/800024832,200,2467,NO,
800024902,https://app.udeki.com/login?id/800024902,200,2214,NO,
800025035,https://app.udeki.com/login?id/800025035,200,2108,NO,
800024912,https://app.udeki.com/login?id/800024912,200,2726,NO,
800025049,https://app.udeki.com/login?id/800025049,200,2461,NO,
800025142,https://app.udeki.com/login?id/800025142,200,2106,NO,
